pic_total_int, hello_world_minstret, hello_world_mcycle, cmark_minstret, cmark_mcycle, pmp_minstret, pmp_mcycle
1, 329, 706, 282995, 409709, 181441, 236520
2, 329, 706, 282995, 409709, 181441, 236520
3, 329, 706, 282995, 409709, 181441, 236520
4, 329, 706, 282995, 409709, 181441, 236520
5, 329, 706, 282995, 409709, 181441, 236520
6, 329, 706, 282995, 409709, 181441, 236520
7, 329, 706, 282995, 409709, 181441, 236520
8, 329, 706, 282995, 409709, 181441, 236520
9, 329, 706, 282995, 409709, 181441, 236520
10, 329, 706, 282995, 409709, 181441, 236520
11, 329, 706, 282995, 409709, 181441, 236520
12, 329, 706, 282995, 409709, 181441, 236520
13, 329, 706, 282995, 409709, 181441, 236520
14, 329, 706, 282995, 409709, 181441, 236520
15, 329, 706, 282995, 409709, 181441, 236520
16, 329, 706, 282995, 409709, 181441, 236520
17, 329, 706, 282995, 409709, 181441, 236520
18, 329, 706, 282995, 409709, 181441, 236520
19, 329, 706, 282995, 409709, 181441, 236520
20, 329, 706, 282995, 409709, 181441, 236520
21, 329, 706, 282995, 409709, 181441, 236520
22, 329, 706, 282995, 409709, 181441, 236520
23, 329, 706, 282995, 409709, 181441, 236520
24, 329, 706, 282995, 409709, 181441, 236520
25, 329, 706, 282995, 409709, 181441, 236520
26, 329, 706, 282995, 409709, 181441, 236520
27, 329, 706, 282995, 409709, 181441, 236520
28, 329, 706, 282995, 409709, 181441, 236520
29, 329, 706, 282995, 409709, 181441, 236520
30, 329, 706, 282995, 409709, 181441, 236520
31, 329, 706, 282995, 409709, 181441, 236520
32, 329, 706, 282995, 409709, 181441, 236520
33, 329, 706, 282995, 409709, 181441, 236520
34, 329, 706, 282995, 409709, 181441, 236520
35, 329, 706, 282995, 409709, 181441, 236520
36, 329, 706, 282995, 409709, 181441, 236520
37, 329, 706, 282995, 409709, 181441, 236520
38, 329, 706, 282995, 409709, 181441, 236520
39, 329, 706, 282995, 409709, 181441, 236520
40, 329, 706, 282995, 409709, 181441, 236520
41, 329, 706, 282995, 409709, 181441, 236520
42, 329, 706, 282995, 409709, 181441, 236520
43, 329, 706, 282995, 409709, 181441, 236520
44, 329, 706, 282995, 409709, 181441, 236520
45, 329, 706, 282995, 409709, 181441, 236520
46, 329, 706, 282995, 409709, 181441, 236520
47, 329, 706, 282995, 409709, 181441, 236520
48, 329, 706, 282995, 409709, 181441, 236520
49, 329, 706, 282995, 409709, 181441, 236520
50, 329, 706, 282995, 409709, 181441, 236520
51, 329, 706, 282995, 409709, 181441, 236520
52, 329, 706, 282995, 409709, 181441, 236520
53, 329, 706, 282995, 409709, 181441, 236520
54, 329, 706, 282995, 409709, 181441, 236520
55, 329, 706, 282995, 409709, 181441, 236520
56, 329, 706, 282995, 409709, 181441, 236520
57, 329, 706, 282995, 409709, 181441, 236520
58, 329, 706, 282995, 409709, 181441, 236520
59, 329, 706, 282995, 409709, 181441, 236520
60, 329, 706, 282995, 409709, 181441, 236520
61, 329, 706, 282995, 409709, 181441, 236520
62, 329, 706, 282995, 409709, 181441, 236520
63, 329, 706, 282995, 409709, 181441, 236520
64, 329, 706, 282995, 409709, 181441, 236520
65, 329, 706, 282995, 409709, 181441, 236520
66, 329, 706, 282995, 409709, 181441, 236520
67, 329, 706, 282995, 409709, 181441, 236520
68, 329, 706, 282995, 409709, 181441, 236520
69, 329, 706, 282995, 409709, 181441, 236520
70, 329, 706, 282995, 409709, 181441, 236520
71, 329, 706, 282995, 409709, 181441, 236520
72, 329, 706, 282995, 409709, 181441, 236520
73, 329, 706, 282995, 409709, 181441, 236520
74, 329, 706, 282995, 409709, 181441, 236520
75, 329, 706, 282995, 409709, 181441, 236520
76, 329, 706, 282995, 409709, 181441, 236520
77, 329, 706, 282995, 409709, 181441, 236520
78, 329, 706, 282995, 409709, 181441, 236520
79, 329, 706, 282995, 409709, 181441, 236520
80, 329, 706, 282995, 409709, 181441, 236520
81, 329, 706, 282995, 409709, 181441, 236520
82, 329, 706, 282995, 409709, 181441, 236520
83, 329, 706, 282995, 409709, 181441, 236520
84, 329, 706, 282995, 409709, 181441, 236520
85, 329, 706, 282995, 409709, 181441, 236520
86, 329, 706, 282995, 409709, 181441, 236520
87, 329, 706, 282995, 409709, 181441, 236520
88, 329, 706, 282995, 409709, 181441, 236520
