btb_size, lsu_num_nbload, btb_enable, lsu_stbuf_depth, mcycle_cmark, mcycle_dhry, LUT as Logic
32.0, 2.0, 1.0, 2.0, 410217, 363032, 31403.0
32.0, 2.0, 1.0, 4.0, 410217, 363032, 31403.0
32.0, 2.0, 1.0, 8.0, 410217, 363032, 31403.0
32.0, 4.0, 1.0, 2.0, 410217, 363032, 31403.0
32.0, 4.0, 1.0, 4.0, 410217, 363032, 31403.0
32.0, 4.0, 1.0, 8.0, 410217, 363032, 31403.0
32.0, 8.0, 1.0, 2.0, 410217, 363032, 31403.0
32.0, 8.0, 1.0, 4.0, 410217, 363032, 31403.0
32.0, 8.0, 1.0, 8.0, 410217, 363032, 31403.0
64.0, 2.0, 1.0, 2.0, 409626, 358971, 31969.0
64.0, 2.0, 1.0, 4.0, 409626, 358971, 31969.0
64.0, 2.0, 1.0, 8.0, 409626, 358971, 31969.0
64.0, 4.0, 1.0, 2.0, 409626, 358971, 31969.0
64.0, 4.0, 1.0, 4.0, 409626, 358971, 31969.0
64.0, 4.0, 1.0, 8.0, 409626, 358971, 31969.0
64.0, 8.0, 1.0, 2.0, 409626, 358971, 31969.0
64.0, 8.0, 1.0, 4.0, 409626, 358971, 31969.0
64.0, 8.0, 1.0, 8.0, 409626, 358971, 31969.0
128.0, 2.0, 1.0, 2.0, 409406, 357920, 32801.0
128.0, 2.0, 1.0, 4.0, 409406, 357920, 32801.0
128.0, 2.0, 1.0, 8.0, 409406, 357920, 32801.0
128.0, 4.0, 1.0, 2.0, 409406, 357920, 32801.0
128.0, 4.0, 1.0, 4.0, 409406, 357920, 32801.0
128.0, 4.0, 1.0, 8.0, 409406, 357920, 32801.0
128.0, 8.0, 1.0, 2.0, 409406, 357920, 32801.0
128.0, 8.0, 1.0, 4.0, 409406, 357920, 32801.0
128.0, 8.0, 1.0, 8.0, 409406, 357920, 32801.0
256.0, 2.0, 1.0, 2.0, 409414, 357919, 34859.0
256.0, 2.0, 1.0, 4.0, 409414, 357919, 34859.0
256.0, 2.0, 1.0, 8.0, 409414, 357919, 34859.0
256.0, 4.0, 1.0, 2.0, 409414, 357919, 34859.0
256.0, 4.0, 1.0, 4.0, 409414, 357919, 34859.0
256.0, 4.0, 1.0, 8.0, 409414, 357919, 34859.0
256.0, 8.0, 1.0, 2.0, 409414, 357919, 34859.0
256.0, 8.0, 1.0, 4.0, 409414, 357919, 34859.0
256.0, 8.0, 1.0, 8.0, 409414, 357919, 34859.0
512.0, 2.0, 1.0, 2.0, 409709, 356914, 38568.0
512.0, 2.0, 1.0, 4.0, 409709, 356914, 38568.0
512.0, 2.0, 1.0, 8.0, 409709, 356914, 38568.0
512.0, 4.0, 1.0, 2.0, 409709, 356914, 38568.0
512.0, 4.0, 1.0, 4.0, 409709, 356914, 38568.0
512.0, 4.0, 1.0, 8.0, 409709, 356914, 38568.0
512.0, 8.0, 1.0, 2.0, 409709, 356914, 38568.0
