btb_size, lsu_num_nbload, btb_enable, lsu_stbuf_depth, mcycle_cmark, mcycle_dhry, LUT as Logic
32.0, 2.0, 0.0, 2.0, 467148, 410401, 25927.0
32.0, 2.0, 0.0, 4.0, 467148, 393880, 26180.0
32.0, 2.0, 0.0, 8.0, 467148, 393880, 26791.0
32.0, 2.0, 1.0, 2.0, 448479, 380179, 29854.0
32.0, 2.0, 1.0, 4.0, 448479, 363633, 30107.0
32.0, 2.0, 1.0, 8.0, 448479, 363633, 30718.0
32.0, 4.0, 0.0, 2.0, 430840, 410096, 27243.0
32.0, 4.0, 0.0, 4.0, 430840, 393575, 27491.0
32.0, 4.0, 0.0, 8.0, 430840, 393575, 27956.0
32.0, 4.0, 1.0, 2.0, 410217, 379578, 31154.0
32.0, 4.0, 1.0, 4.0, 410217, 363032, 31403.0
32.0, 4.0, 1.0, 8.0, 410217, 363032, 31867.0
32.0, 8.0, 0.0, 2.0, 428864, 410096, 29327.0
32.0, 8.0, 0.0, 4.0, 428864, 393575, 29506.0
32.0, 8.0, 0.0, 8.0, 428864, 393575, 30147.0
32.0, 8.0, 1.0, 2.0, 408080, 379578, 33213.0
32.0, 8.0, 1.0, 4.0, 408080, 363032, 33391.0
32.0, 8.0, 1.0, 8.0, 408080, 363032, 34072.0
64.0, 2.0, 0.0, 2.0, 467148, 410401, 25952.0
64.0, 2.0, 0.0, 4.0, 467148, 393880, 26202.0
64.0, 2.0, 0.0, 8.0, 467148, 393880, 26813.0
64.0, 2.0, 1.0, 2.0, 447989, 376105, 30487.0
64.0, 2.0, 1.0, 4.0, 447989, 359573, 30727.0
64.0, 2.0, 1.0, 8.0, 447989, 359573, 31389.0
64.0, 4.0, 0.0, 2.0, 430840, 410096, 27264.0
64.0, 4.0, 0.0, 4.0, 430840, 393575, 27508.0
64.0, 4.0, 0.0, 8.0, 430840, 393575, 27971.0
64.0, 4.0, 1.0, 2.0, 409626, 375503, 31737.0
64.0, 4.0, 1.0, 4.0, 409626, 358971, 31969.0
64.0, 4.0, 1.0, 8.0, 409626, 358971, 32524.0
64.0, 8.0, 0.0, 2.0, 428864, 410096, 29369.0
64.0, 8.0, 0.0, 4.0, 428864, 393575, 29548.0
64.0, 8.0, 0.0, 8.0, 428864, 393575, 30147.0
64.0, 8.0, 1.0, 2.0, 407494, 375503, 33830.0
64.0, 8.0, 1.0, 4.0, 407494, 358971, 34005.0
64.0, 8.0, 1.0, 8.0, 407494, 358971, 34739.0
128.0, 2.0, 0.0, 2.0, 467148, 410401, 25952.0
128.0, 2.0, 0.0, 4.0, 467148, 393880, 26202.0
128.0, 2.0, 0.0, 8.0, 467148, 393880, 26813.0
128.0, 2.0, 1.0, 2.0, 447732, 375051, 31397.0
128.0, 2.0, 1.0, 4.0, 447732, 358519, 31632.0
128.0, 2.0, 1.0, 8.0, 447732, 358519, 32199.0
128.0, 4.0, 0.0, 2.0, 430840, 410096, 27264.0
128.0, 4.0, 0.0, 4.0, 430840, 393575, 27508.0
128.0, 4.0, 0.0, 8.0, 430840, 393575, 27971.0
128.0, 4.0, 1.0, 2.0, 409406, 374452, 32566.0
128.0, 4.0, 1.0, 4.0, 409406, 357920, 32801.0
128.0, 4.0, 1.0, 8.0, 409406, 357920, 33358.0
128.0, 8.0, 0.0, 2.0, 428864, 410096, 29369.0
128.0, 8.0, 0.0, 4.0, 428864, 393575, 29548.0
128.0, 8.0, 0.0, 8.0, 428864, 393575, 30147.0
128.0, 8.0, 1.0, 2.0, 407272, 374452, 34646.0
128.0, 8.0, 1.0, 4.0, 407272, 357920, 34821.0
128.0, 8.0, 1.0, 8.0, 407272, 357920, 35578.0
256.0, 2.0, 0.0, 2.0, 467148, 410401, 25952.0
256.0, 2.0, 0.0, 4.0, 467148, 393880, 26202.0
256.0, 2.0, 0.0, 8.0, 467148, 393880, 26813.0
256.0, 2.0, 1.0, 2.0, 447761, 375051, 33471.0
256.0, 2.0, 1.0, 4.0, 447761, 358519, 33706.0
256.0, 2.0, 1.0, 8.0, 447761, 358519, 34257.0
256.0, 4.0, 0.0, 2.0, 430840, 410096, 27264.0
256.0, 4.0, 0.0, 4.0, 430840, 393575, 27508.0
256.0, 4.0, 0.0, 8.0, 430840, 393575, 27971.0
256.0, 4.0, 1.0, 2.0, 409414, 374451, 34624.0
256.0, 4.0, 1.0, 4.0, 409414, 357919, 34859.0
256.0, 4.0, 1.0, 8.0, 409414, 357919, 35416.0
256.0, 8.0, 0.0, 2.0, 428864, 410096, 29369.0
256.0, 8.0, 0.0, 4.0, 428864, 393575, 29548.0
256.0, 8.0, 0.0, 8.0, 428864, 393575, 30147.0
256.0, 8.0, 1.0, 2.0, 407279, 374451, 36704.0
256.0, 8.0, 1.0, 4.0, 407279, 357919, 36879.0
256.0, 8.0, 1.0, 8.0, 407279, 357919, 37635.0
512.0, 2.0, 0.0, 2.0, 467148, 410401, 25952.0
512.0, 2.0, 0.0, 4.0, 467148, 393880, 26202.0
