btb_size, icache_size, lsu_num_nbload, bht_size, icache_enable, mcycle_cmark, mcycle_pmp, LUT as Logic
256.0, 16.0, 4.0, 64.0, 1.0, 409414, 236626, 34859.0
128.0, 64.0, 4.0, 512.0, 1.0, 409406, 240428, 32801.0
32.0, 8.0, 4.0, 256.0, 1.0, 410217, 249250, 31403.0
128.0, 256.0, 8.0, 64.0, 1.0, 409406, 240428, 32801.0
64.0, 64.0, 4.0, 128.0, 1.0, 409626, 244734, 31969.0
32.0, 16.0, 4.0, 128.0, 1.0, 410217, 249250, 31403.0
128.0, 16.0, 4.0, 64.0, 1.0, 409406, 240428, 32801.0
128.0, 64.0, 2.0, 512.0, 1.0, 409406, 240428, 32801.0
64.0, 32.0, 8.0, 128.0, 1.0, 409626, 244734, 31969.0
256.0, 128.0, 4.0, 1024.0, 1.0, 409414, 236626, 34859.0
512.0, 32.0, 2.0, 2047.9999999999998, 1.0, 409709, 236520, 38568.0
32.0, 256.0, 4.0, 256.0, 1.0, 410217, 249250, 31403.0
64.0, 8.0, 4.0, 512.0, 1.0, 409626, 244734, 31969.0
256.0, 64.0, 8.0, 64.0, 1.0, 409414, 236626, 34859.0
256.0, 16.0, 4.0, 256.0, 1.0, 409414, 236626, 34859.0
64.0, 128.0, 8.0, 2047.9999999999998, 1.0, 409626, 244734, 31969.0
32.0, 16.0, 2.0, 64.0, 1.0, 410217, 249250, 31403.0
512.0, 64.0, 4.0, 512.0, 1.0, 409709, 236520, 38568.0
256.0, 8.0, 8.0, 256.0, 1.0, 409414, 236626, 34859.0
64.0, 64.0, 4.0, 32.0, 1.0, 409626, 244734, 31969.0
128.0, 32.0, 4.0, 1024.0, 1.0, 409406, 240428, 32801.0
128.0, 128.0, 2.0, 128.0, 1.0, 409406, 240428, 32801.0
64.0, 128.0, 2.0, 512.0, 1.0, 409626, 244734, 31969.0
64.0, 16.0, 8.0, 512.0, 1.0, 409626, 244734, 31969.0
256.0, 128.0, 4.0, 2047.9999999999998, 1.0, 409414, 236626, 34859.0
256.0, 16.0, 4.0, 2047.9999999999998, 1.0, 409414, 236626, 34859.0
256.0, 32.0, 8.0, 64.0, 1.0, 409414, 236626, 34859.0
256.0, 128.0, 8.0, 128.0, 1.0, 409414, 236626, 34859.0
256.0, 32.0, 2.0, 256.0, 1.0, 409414, 236626, 34859.0
512.0, 32.0, 2.0, 1024.0, 1.0, 409709, 236520, 38568.0
